Iteration, PSO,ECPPSO,ECPPSO_GA
1,62.1837,70.0612,79.4694
2,69.898,70,85.7347
3,70.9388,66.9592,82.8163
4,69.7959,66.3878,79.8163
5,68.9796,62.7347,83.6735
6,69.7959,59.0204,83.4694
7,69.8367,58.5102,82.4898
8,69.9388,56.102,80.5714
9,69.7143,53.6939,81.8163
10,69.7143,52.6122,84.7551
11,69.6327,53.6735,83.0816
12,69.7143,56.0816,82.3674
13,69.7959,56.6123,83.1429
14,69.3878,58.6122,83.8571
15,69.6531,61.9796,81.7143
16,69.6735,65.8776,83.6735
17,70,63.6123,83
18,69.2449,59.2449,83.7143
19,69.7551,61.8367,83.8571
20,69.5102,62.7755,84.551
21,70,61.8367,84.449
22,69.8367,61.3469,84.6327
23,69.6735,61.5102,84.7347
24,69.898,62.1837,85.3061
25,69.5714,61.1429,84.8571
26,68.7551,59.8776,85.4694
27,68.9796,59.6122,85.1225
28,69.2653,60.7347,85.551
29,69.5714,62.551,84.9388
30,69.7143,60.7959,85.7755
31,69.102,60.449,85.4286
32,69.3674,65.1429,85.4694
33,69.6939,64.6531,85.5102
34,69.4286,62.5918,85.1837
35,69.5714,64.1837,87.1837
36,69.5306,66.5306,86.3469
37,68.8776,64.551,86.0612
38,69.4286,64.4082,87.2653
39,69.3265,67.3674,87.1633
40,69.6531,67.7347,87.6531
41,69.4082,68.3674,87.1633
42,70.102,68.6735,87.5102
43,69.4286,66.5102,87.6735
44,69.3878,68.7551,87.4082
45,69.3674,66.8367,86.9796
46,69.5918,65.9184,88.3469
47,69.2653,67.8571,87.3674
48,69.4082,67.2041,87.9796
49,69.6531,67.3469,87.6327
50,69.6122,66.2245,87.7755
51,69.551,66.898,88.7347
52,69.5102,67.9796,88.0408
53,68.9796,66.9796,88.1633
54,69.0408,67.102,87.9592
55,69.2245,67.9796,87.6531
56,69.0408,66.0204,87.4694
57,68.9796,66,88.2041
58,69.0612,66.5918,88.4286
59,69.2041,68.7755,88.4286
60,69.3061,67.2653,87.0816
61,69.0612,67.5918,88.2857
62,68.5306,66.2041,88.5714
63,69.3878,67.9796,87.6939
64,69.3674,67.6735,88.2653
65,69.102,68.1429,88.1225
66,69.6735,69.0408,88.1225
67,69.3061,70.6735,88.7143
