Iteration,GA,PSO,ECPPSO,PSO_GA,ECPPSO_GA,ECPPSO_SE_GA,ECPPSO_NEP_GA
1,73.2813,66.8281,66.7031,71.7500,73.4219,71.9375,72.6406
2,73.2813,67.0625,67.7031,70.7188,70.7188,72.7656,74.3750
3,73.2813,66.1094,67.4688,70.5625,73.1875,72.6094,72.7188
4,74.6406,64.5781,65.5000,72.3906,73.2031,70.9844,69.9219
5,74.6406,63.1094,64.2031,70.2656,69.6875,72.0156,72.5469
6,74.6406,62.4375,60.8281,70.0938,70.9375,69.7969,75.1250
7,74.6406,63.0938,59.2813,71.3281,70.5938,70.5156,71.0000
8,74.6406,62.1563,57.5469,70.5469,70.9531,74.6406,72.5625
9,74.6406,61.5000,57.0625,73.0156,72.2969,73.0000,72.5156
10,74.6406,60.8594,55.8281,70.5938,74.6094,72.6094,71.2188
11,74.6406,61.7969,55.2344,70.7500,73.6250,72.7969,72.5938
12,74.6406,62.4844,53.8594,72.8125,75.3750,74.3281,71.3594
13,74.6406,62.6406,53.5781,70.4531,72.8281,73.6875,72.5781
14,74.6406,62.8906,52.6719,71.1250,73.9063,71.3594,72.4375
15,74.6406,62.7500,51.9531,72.9688,72.8281,76.4219,71.7500
16,74.6406,61.9844,51.4063,70.5313,73.9531,73.1406,69.9531
17,74.6406,61.8125,49.9375,69.5938,75.0000,72.4375,71.3125
18,74.6406,61.8125,46.1719,71.5938,75.1875,73.9375,72.4375
19,74.6406,61.8281,43.2031,71.3125,74.3438,74.7188,71.5625
20,74.6406,61.9844,43.4063,70.5156,74.0000,74.5469,72.7656
21,74.6406,62.2813,41.2813,70.7969,75.1250,74.7344,70.8438
22,74.6406,62.1719,39.3594,72.6719,76.0156,74.6563,72.6406
23,76.9219,62.1563,40.3125,71.0781,75.2031,74.7656,72.3594
24,76.9219,62.1094,39.7813,70.7188,74.6875,74.3750,72.4219
25,76.9219,62.2188,41.9219,70.9844,75.9375,73.8438,71.8906
26,76.9219,62.0000,39.9531,71.8594,75.8438,73.5625,72.3594
27,76.9219,62.2969,41.0156,69.8281,77.5156,75.8750,72.8438
28,76.9219,62.0313,41.7344,72.7813,75.4531,75.8281,73.7969
29,76.9219,61.9844,42.7031,75.1563,75.7969,75.3438,73.7031
