Iteration,GA,PSO,ECPPSO,PSO_GA,ECPPSO_GA,ECPPSO_SE_GA,ECPPSO_NEP_GA
1,,737.7538,94.2345,,85.5408,,
2,,56.6249,88.8767,,88.1271,,
3,,52.3720,101.3775,,81.1844,,
4,,50.8680,129.5452,,80.9860,,
5,,45.5828,95.6802,,82.5348,,
6,,49.3498,93.6585,,80.9326,,
7,,51.9476,84.0397,,102.9892,,
8,,50.2954,81.8291,,84.7549,,
9,,48.6078,77.3964,,102.0126,,
10,,49.0651,75.4719,,95.7718,,
11,,49.2544,77.2858,,86.7081,,
12,,49.1490,75.0961,,85.2509,,
13,,47.4973,83.6449,,84.5490,,
14,,47.4367,92.0010,,85.8536,,
15,,43.3469,74.5544,,84.1217,,
16,,42.0432,77.7016,,83.8471,,
17,,40.7052,88.8844,,108.5129,,
18,,42.3060,79.4411,,84.1293,,
19,,49.6769,79.7920,,83.9005,,
20,,46.1931,78.0277,,96.0770,,
21,,41.5096,83.4999,,101.2650,,
22,,44.6239,75.5272,,97.2443,,
23,,42.0032,85.8040,,82.6416,,
24,,43.8175,86.0386,,104.0421,,
25,,45.1541,73.0457,,103.9505,,
26,,40.9145,73.2193,,95.3064,,
27,,41.2221,71.1346,,108.5815,,
28,,43.0141,70.1389,,83.0612,,
29,,45.1508,71.4893,,82.5501,,
30,,41.7337,82.6263,,86.9217,,
31,,41.2183,79.8683,,101.2344,,
32,,40.2970,76.8127,,101.4862,,
33,,40.8697,82.7866,,91.3086,,
34,,41.1029,87.4596,,86.0138,,
35,,42.1066,72.4907,,91.8808,,
36,,40.7143,71.8079,,88.8290,,
37,,41.0094,71.2013,,98.5260,,
38,,41.1081,76.2253,,82.9392,,
39,,41.1835,71.1403,,83.2672,,
40,,40.2641,75.6111,,82.8629,,
41,,41.5030,71.5065,,83.8623,,
42,,42.4967,72.1626,,88.7070,,
43,,42.1295,90.2596,,106.2927,,
44,,43.8247,94.9783,,98.8464,,
45,,43.0031,83.8165,,86.3724,,
46,,40.6842,79.0482,,110.6796,,
47,,43.4861,78.9452,,84.8846,,
48,,45.5899,78.1021,,86.0291,,
49,,46.3533,73.4329,,85.0906,,
50,,43.9210,77.6520,,86.5784,,
51,,41.7724,75.3632,,85.2203,,
52,,44.8270,75.4395,,84.0530,,
53,,44.8246,83.7936,,91.2705,,
54,,42.6192,88.1958,,102.3865,,
55,,40.2255,77.7283,,96.6415,,
56,,40.7720,89.4013,,165.6189,,
57,,40.2269,81.9550,,171.9208,,
58,,40.5946,83.0917,,147.6212,,
59,,40.7076,81.0814,,87.3184,,
60,,40.4549,85.1326,,85.2432,,
61,,40.7763,80.6084,,86.9446,,
62,,40.7624,75.1419,,84.7244,,
63,,40.7572,90.1451,,89.1953,,
64,,40.5302,91.8083,,102.1042,,
65,,42.6846,81.2836,,89.9048,,
66,,43.1647,77.0416,,85.6094,,
67,,48.1076,80.5626,,92.4301,,
68,,44.4689,92.8192,,101.8143,,
69,,42.5286,87.0323,,94.0933,,
70,,41.6784,85.8650,,103.1342,,
71,,42.4781,82.7293,,102.1729,,
72,,45.8422,86.8034,,101.4099,,
73,,43.0179,90.7021,,106.6360,,
74,,42.0995,91.6710,,110.6110,,
75,,45.1074,80.6465,,119.2093,,
76,,45.7535,77.5642,,111.5723,,
77,,41.8434,78.7582,,132.2861,,
