Iteration,GA,PSO,ECPPSO,PSO_GA,ECPPSO_GA,ECPPSO_SE_GA,ECPPSO_NEP_GA
1,640.1052,27.3914,51.4488,28.3127,47.6532,26.7029,64.6668
2,30.8490,27.1282,48.7785,26.5656,43.2129,30.1819,52.4750
3,22.0094,23.7007,41.1339,27.5345,45.3186,26.5350,43.8232
4,22.0592,23.4909,39.6767,32.7988,44.6167,27.8168,42.4194
5,22.3713,24.0593,39.3982,25.4669,42.6178,25.0092,41.3055
6,22.0704,23.4737,39.3906,25.5814,41.5649,24.8718,44.0826
7,22.3603,23.0923,39.6500,25.2304,42.4194,24.7345,41.5955
8,22.3489,22.8291,39.3257,25.3449,42.6483,25.3601,41.3971
9,22.5101,23.3326,70.5833,25.0397,44.1284,24.6124,42.4194
10,21.7218,23.2964,39.3257,25.4517,70.0836,24.6429,42.6636
11,21.5831,23.2678,38.6391,26.1459,43.8995,24.7955,41.2750
12,21.8129,23.7007,40.1955,25.7187,44.0369,25.2991,42.5568
13,21.6413,23.3345,39.8750,25.6653,44.1895,25.9552,42.6178
14,21.8358,23.1171,39.1197,25.9781,43.1976,25.1465,41.8091
15,21.5783,22.8558,40.0238,25.3754,42.8619,24.9023,42.9840
16,21.7662,22.7833,40.7028,24.7192,42.8772,25.3601,51.6510
17,21.7185,23.1609,39.8598,24.8871,43.8690,25.2380,60.5164
18,21.7819,22.9034,40.7715,25.0244,44.5404,26.5961,43.5944
19,22.0795,23.1800,37.5824,24.5743,43.9606,25.1007,44.4489
20,21.7233,22.8920,37.9219,24.5743,44.4336,25.3449,43.7012
21,21.6551,23.2067,38.2042,24.5285,42.6941,24.9634,42.6483
22,21.9421,22.9664,37.0407,25.0855,43.6096,24.8108,42.9230
23,22.3403,22.8272,37.9372,24.9100,43.1519,24.8718,42.8314
24,26.3138,22.8996,38.7917,24.5056,42.2058,25.1923,42.6941
25,24.0760,23.3402,50.9682,24.6658,51.8494,24.9329,43.0908
26,23.0980,22.8291,53.3371,25.7263,60.6232,25.1465,44.5862
27,22.2096,22.9740,38.1699,25.5585,44.7388,24.8261,44.6625
28,23.6502,22.9073,39.7530,25.3220,43.6859,25.1465,43.6859
29,22.3885,23.2239,41.0805,25.3983,42.8467,25.0397,42.7856
30,22.0385,22.9168,37.8456,25.6653,43.5028,25.0549,43.8232
31,22.6460,23.0217,38.8641,25.4211,44.9677,25.0244,43.7164
32,22.4242,23.1400,39.1197,26.1002,43.1061,25.4059,52.5665
33,23.0451,23.1342,38.2538,24.5895,45.2881,26.8097,58.7921
34,23.1895,22.8806,39.7911,25.7263,43.7622,25.9399,44.2658
35,23.6564,22.9263,38.5819,25.0702,43.4113,25.6805,43.8232
36,22.6402,22.7966,39.2761,24.7879,43.7622,25.4974,43.5791
37,22.9697,23.3994,38.3453,24.7955,43.7164,25.1923,43.4113
38,22.9111,23.0446,38.9290,25.0778,42.9077,25.3449,41.9922
39,23.2801,22.8825,38.9137,24.7345,44.4336,24.8413,43.2434
40,22.7432,22.9206,39.1731,26.0162,50.7202,26.4130,43.1061
41,22.8305,23.5348,48.9311,24.5819,62.2406,25.4364,43.6707
42,22.9201,23.0293,58.1780,24.9405,44.6625,24.9939,45.2118
43,23.3965,23.1915,40.7219,24.5819,44.0369,25.0855,42.9230
44,22.6851,23.0064,38.8985,24.7421,44.7388,25.9094,42.9382
45,22.7852,23.2296,37.8647,24.8261,43.9911,25.5890,43.2282
46,23.0455,22.9511,38.8107,24.9786,46.2799,25.8026,43.5028
47,23.0074,22.8462,39.8140,24.6658,45.1508,27.4353,44.0216
48,22.4748,22.8558,40.0085,24.6353,44.0674,25.6958,51.5747
49,22.5349,23.3021,39.3486,24.6658,43.2129,25.4669,58.9294
50,22.5740,23.0217,39.5584,25.0397,44.6167,25.6195,43.8080
51,23.1247,22.9416,40.6456,24.5972,43.2587,24.9176,43.1213
52,22.6860,22.9836,40.1917,24.5056,43.4876,25.6653,43.2892
53,22.8615,23.1895,39.0663,24.6277,44.9524,25.2838,43.9453
54,22.5000,22.8691,38.6467,24.8184,44.4031,26.4587,44.3573
55,23.1633,23.1438,39.4020,24.5056,49.5453,26.1688,42.6636
56,22.8567,22.8500,40.5235,24.5438,61.5845,25.5890,42.4805
57,22.8367,23.1438,50.3388,25.4974,43.8538,25.1770,42.7246
58,22.9673,22.7623,59.0820,25.7263,44.4794,25.2991,43.6554
59,22.9535,22.9683,40.4892,32.5928,43.5944,25.1160,42.8009
60,22.6283,22.8348,39.8064,31.4407,42.8619,25.3601,42.5263
61,22.9073,23.2277,42.6064,25.3449,43.9758,26.7181,44.1437
62,23.0837,22.8806,39.8941,25.2914,44.3420,26.0925,41.4124
63,22.4648,22.8996,40.1840,24.6353,42.8772,26.0010,43.4418
64,22.2321,22.8958,40.9851,24.6658,43.4265,25.7874,53.6652
65,22.2182,23.1781,41.4696,24.8718,45.2271,25.4517,60.0433
66,22.3393,23.7541,40.3442,25.1999,43.2434,25.2533,43.2434
67,22.4915,23.8190,40.5541,25.0778,42.9535,25.0244,44.5404
68,22.4438,23.6778,39.9170,24.8261,43.0298,27.0538,44.9829
69,22.2530,24.6086,41.0614,25.0855,44.6472,25.1312,45.1965
70,22.4757,23.7045,40.6952,26.4435,49.5453,25.1617,43.7622
71,22.6626,23.7198,42.0723,26.0468,65.2466,24.9176,42.7704
72,22.6178,23.9487,39.4974,25.7111,44.8761,25.7568,43.0756
73,22.3570,24.0860,49.6445,25.2762,44.5709,25.4822,42.2058
74,22.7161,24.1051,59.8068,25.6271,44.9371,25.3143,43.5028
75,22.7003,23.9029,41.5039,25.2457,43.9758,25.5280,42.5873
76,22.5229,23.9601,40.3709,24.4064,45.2118,25.2533,43.3350
77,22.5716,24.5819,39.6957,25.7034,44.2047,25.1160,43.6249
78,22.5630,22.8996,40.2985,24.7498,43.2739,24.9786,43.6401
79,23.6025,23.9334,39.7453,24.6201,44.6777,25.1770,42.3737
80,22.2726,23.6435,41.5001,24.4827,43.6859,25.5432,52.6886
81,22.3703,24.0860,40.0124,24.6506,44.3115,25.1465,59.7687
82,22.7013,23.8304,40.1077,25.0931,43.8843,25.1617,44.7693
83,22.6836,23.7618,40.8745,24.7955,44.7388,26.8555,42.4500
84,22.8033,23.8152,40.0009,24.9329,43.2282,25.5280,44.1437
85,22.8739,24.1928,40.2565,25.5585,49.8505,25.3601,42.1906
86,22.6264,23.8037,39.8254,25.4517,63.5834,25.5280,44.3268
87,23.5314,23.8152,39.9780,25.1694,43.7470,25.1312,43.2282
88,23.2759,23.6282,41.1835,26.0925,43.7775,25.6805,43.4265
89,22.4872,23.9563,89.9811,25.9323,44.0674,25.3143,43.4265
90,22.7733,23.7427,92.1631,26.4587,43.3960,27.2827,44.7235
91,23.7560,23.8533,92.3576,26.0391,43.3807,26.0010,43.9911
92,23.6363,23.7160,92.4187,26.1002,43.8690,26.3825,43.5944
93,23.2663,24.1547,41.3017,25.7797,43.6554,26.0773,43.7317
94,23.4060,23.5863,41.1339,26.1765,44.7083,26.2604,44.0521
95,23.1605,23.1171,41.5916,25.5814,44.4489,25.1007,43.5486
96,22.7585,22.9950,40.2718,25.5508,44.8456,25.6195,54.4281
97,22.5816,23.3841,42.8581,25.5356,43.7317,25.0855,59.6619
98,22.9311,22.9416,40.9050,26.1765,43.6249,25.7263,44.0826
99,23.1729,22.8806,39.8140,26.0468,42.8619,25.9857,43.6707
100,23.0656,22.9263,42.2249,26.4053,50.3845,26.0315,43.5333
101,22.7661,23.5939,41.1148,25.9171,63.1256,26.0468,46.0815
102,22.9244,23.2010,40.5121,26.7944,43.7775,25.7263,42.6941
103,23.6321,24.4293,39.9437,26.7410,44.0979,25.6043,44.2047
104,23.1662,22.8539,40.5541,26.7639,45.2118,26.9470,45.1508
105,23.3026,23.0026,39.5393,26.5427,43.0298,26.2756,42.8772
106,23.8304,22.6898,40.7715,26.3138,43.6707,26.4435,43.2739
107,23.7503,23.0751,46.2952,26.1307,44.0521,26.4435,44.4031
108,23.3140,23.4032,56.5186,25.8560,44.1132,26.9318,45.5780
109,23.1919,24.2767,40.8859,25.4898,44.1895,25.2380,43.4570
110,23.4337,23.5863,40.1001,26.1002,43.6859,25.2075,44.3573
111,23.5028,22.7928,40.9546,26.0315,43.8080,25.3906,43.1061
112,23.1409,23.4375,39.6042,25.0473,44.4183,25.6195,52.4292
113,22.9964,23.5291,39.2113,25.0015,45.0287,25.2838,60.8826
114,23.0312,22.9492,39.8941,24.9710,43.6859,25.3296,44.9524
115,23.8972,23.1133,40.3137,24.7116,51.4526,25.7263,43.6554
116,23.4013,23.0179,40.1917,24.5972,63.7512,25.7263,45.1355
117,22.7280,23.2697,40.1573,24.7726,45.7153,25.2686,44.3726
118,22.7599,23.0522,39.6500,25.0473,45.4102,25.2991,43.6249
119,24.1537,23.7503,40.7257,24.5514,44.4489,25.5737,43.8080
120,22.8605,22.9034,38.8794,24.5667,43.6859,25.8484,42.0532
121,22.8128,23.4528,39.1197,24.2004,44.4641,25.8789,43.6096
122,22.8338,24.6620,40.2184,24.8108,44.3115,25.5585,42.3126
123,23.0985,23.0713,52.9556,24.2767,43.3960,25.6805,43.9911
124,22.8434,22.9912,51.3153,24.5056,44.6777,26.0010,44.1284
125,22.7399,23.6054,40.6456,24.4827,44.0369,26.5198,43.6096
126,23.0365,23.2544,40.9012,24.7574,42.9230,26.2299,44.1284
127,22.9473,23.8876,41.6718,25.1389,43.4265,26.3214,43.1366
128,22.7275,24.1737,41.1911,24.7879,44.5862,26.6266,52.4750
129,22.6975,24.0593,40.8592,24.4675,42.8162,26.4893,61.5540
130,22.7256,23.5252,39.5355,24.6277,50.9186,25.4517,44.7083
131,27.6561,23.5596,39.9551,24.4293,64.1327,25.4364,43.9758
132,23.1595,23.6855,39.5660,24.5514,44.9829,26.1383,43.4265
133,23.2735,24.0822,40.2603,24.8566,43.7927,25.6805,44.0979
134,22.5577,23.6931,40.2603,24.8795,44.9982,25.7111,42.6483
135,22.9135,23.7160,39.8827,24.7650,44.1437,25.6958,42.4194
136,22.8043,23.3078,39.1235,26.6724,44.4489,26.0162,43.4876
137,22.6903,23.3803,39.4096,24.5285,43.6859,25.6805,42.8925
138,22.9144,22.8729,45.0897,24.7650,43.3044,25.4364,44.0369
139,23.4757,23.2239,56.4995,25.1389,42.8925,25.2075,44.1284
140,23.1018,23.1133,39.9132,24.9481,43.6401,25.6043,42.8619
141,22.6107,24.4141,40.3595,24.5209,44.0064,25.8026,43.0908
142,22.7184,23.5596,39.5508,24.6887,44.0826,25.4669,43.2129
143,22.9540,23.8686,39.4058,24.2996,46.4325,25.2228,43.4418
144,22.5802,23.9945,41.7328,24.4446,43.4265,25.6653,51.8646
145,22.8553,23.3612,40.6876,24.5056,49.3774,29.7546,60.2722
146,23.0217,25.3296,39.9399,24.6048,63.3087,29.1748,44.3878
147,23.1628,24.6162,40.3061,24.6201,45.5322,27.2217,44.8151
148,22.7966,24.1737,40.2527,25.5966,43.8995,27.0691,44.2352
149,22.9659,25.4211,41.2674,24.9786,43.2434,28.2898,44.0521
150,23.0560,25.8141,40.3519,25.3143,43.1366,26.5045,43.7164
151,23.0045,23.0560,41.4352,25.1312,44.0826,25.8484,45.8221
152,22.9068,22.9187,40.6723,26.4282,43.8538,26.0315,42.7399
153,22.6798,23.2430,39.5966,24.4522,45.0287,26.9623,43.0603
154,22.8806,22.8043,50.8728,24.9634,42.6178,29.1290,43.0298
155,23.2720,23.2849,51.9562,24.7040,44.0979,25.5890,43.6096
156,22.7952,23.0179,40.3671,24.7803,44.7083,25.5737,42.6788
157,22.8415,23.4528,43.7698,24.4980,43.1061,25.2838,44.5404
158,22.9807,23.5252,42.9230,24.4141,44.2352,25.3296,42.8619
159,23.8962,23.3994,44.5786,24.6124,44.3726,25.5737,42.9688
160,23.4232,23.1476,41.0233,24.3301,49.8810,25.6195,89.6759
161,23.3574,23.3765,39.9780,24.3378,62.7899,25.4669,93.6432
162,23.3812,23.1705,41.3284,24.7040,45.5627,25.2991,94.4367
163,23.7570,23.2582,40.2527,24.4827,45.0592,25.9247,97.1069
164,23.4222,23.0713,39.0472,33.9813,45.6238,25.8484,43.5486
165,23.5043,23.3727,40.0543,32.7148,45.7153,25.3754,44.6472
166,22.7776,23.1552,39.0778,25.6577,43.5486,25.7721,43.4113
167,22.9311,23.8762,40.1382,25.6882,45.2271,25.3754,44.1589
168,22.5878,22.9302,38.9404,25.4822,43.1519,25.6500,46.5546
169,22.6011,23.4909,44.5938,25.4746,43.4418,25.3449,44.0674
170,24.9376,23.0331,56.2210,24.4751,43.9911,25.2533,48.1110
171,23.1237,22.7966,40.7181,24.4751,43.3350,25.3906,44.9219
172,22.7518,22.8996,40.8859,24.8489,44.5709,25.5890,43.7012
173,22.7776,23.2353,40.9546,25.1007,43.6554,25.7263,42.4194
174,22.6698,22.8500,40.7257,26.3062,45.1813,25.3449,45.6543
175,22.8748,22.8500,42.0380,25.4059,49.5911,26.6113,43.9606
176,22.6908,22.9645,39.8789,25.0320,63.1714,25.9094,43.7164
177,22.5916,23.5176,39.5279,24.7269,45.3339,25.5585,42.8619
178,23.0017,22.9416,39.3448,24.5590,44.8761,25.8331,43.9301
179,23.0331,23.0255,40.4129,24.6506,45.2881,32.2723,53.4668
180,22.7299,22.9530,39.6271,25.2838,44.0979,33.1421,59.1126
181,22.9302,23.3345,39.7797,25.1236,44.8914,38.2996,45.8679
182,22.8939,22.8691,40.8630,24.4446,43.9301,26.3825,44.1895
183,23.8276,23.9410,40.7715,24.5667,45.1813,27.5574,44.3115
184,23.3612,23.4032,39.8712,24.9252,44.5252,26.2146,42.1753
185,23.3545,23.5291,51.8646,25.0626,46.9208,26.5045,42.8009
186,23.3851,23.0293,52.6505,25.0168,46.8903,26.3519,43.0908
187,23.8648,23.3078,42.2669,24.3378,47.0276,28.4882,42.6331
188,23.7474,23.0484,40.4587,24.8032,45.7306,26.4435,43.9758
189,23.4575,23.1628,39.8560,24.8642,46.9513,26.7792,43.8995
190,23.6778,23.1476,39.6652,24.6429,51.9409,25.7874,43.1213
191,23.4060,23.7007,39.3066,24.6048,62.5610,26.1078,44.8303
192,23.0017,23.6588,38.6963,24.4522,43.1213,25.4974,43.7012
193,23.4795,23.6588,39.0625,26.2985,44.4641,25.7874,43.5791
194,23.6254,22.8233,38.6505,24.4141,45.9747,26.9013,43.1824
195,23.7961,23.3498,38.8718,24.4904,45.2576,25.9094,53.1616
196,23.8457,22.9302,39.1083,24.2539,44.1284,25.6653,58.6548
197,22.8891,23.5863,39.6347,24.6201,45.1355,25.8026,44.6930
198,22.8930,23.1705,38.9633,24.4980,42.9688,25.7568,42.8772
199,24.0307,23.9868,39.8941,25.0931,44.6930,26.3672,44.2200
200,23.5510,23.8457,45.5399,24.8795,43.5944,26.3519,42.8772
201,23.3803,24.0593,57.9300,24.9558,43.3807,25.6805,44.5862
202,23.5376,23.8113,40.8707,24.8413,42.5263,25.6500,42.8162
203,23.6425,23.7732,41.8167,24.9634,43.1061,25.9857,45.0134
204,23.5062,23.1934,40.4434,25.1617,45.5475,25.6653,43.3807
205,23.5853,23.6244,41.3132,27.1225,49.0265,25.5432,43.2739
206,23.4146,23.1094,41.2445,24.7574,63.4155,25.8331,43.5638
207,23.7322,23.7389,41.0156,24.5972,44.0826,25.8179,43.0450
208,23.9954,23.3231,40.3519,24.7574,43.4265,26.5961,44.2047
209,23.7446,23.5634,39.6118,24.8489,45.2881,25.8942,42.6483
210,24.0984,23.2201,40.8859,24.7116,45.1813,26.6266,43.0450
211,23.7551,23.4718,41.3895,24.7269,43.8385,27.1301,53.0701
212,23.5291,23.2468,40.1993,24.7345,43.0145,25.5280,59.2957
213,23.6864,23.6206,40.3595,25.1923,43.2587,25.5737,44.1589
214,23.5882,24.7307,38.9328,25.2457,43.1824,25.4669,44.3878
215,23.7837,22.9530,40.5884,25.0473,44.2505,27.4353,44.4946
