Iteration,Fitness
1,80.7200
2,80.7200
3,80.3600
4,74.2000
5,72.1600
6,73.2800
7,70.7600
8,73.5200
9,71.6400
10,66.0800
11,60.6000
12,60.4400
13,66.1600
14,75.8800
15,76.5600
16,78.2000
17,75.9200
18,73.2400
19,71.0000
20,71.8000
21,70.6000
22,67.1200
23,68.9200
24,69.2400
25,72.1600
26,70.0000
27,69.4400
28,71.0000
29,71.6000
30,68.6400
31,65.2000
32,62.7600
33,63.0400
34,64.7200
35,65.1200
36,64.8400
37,67.0000
38,68.3200
39,67.3600
40,66.9600
41,67.3600
42,65.5600
43,63.8400
44,62.4400
45,59.0800
46,56.2000
47,55.4800
48,60.4400
49,61.3200
50,65.4400
51,65.6800
52,66.5200
53,66.8400
54,68.2400
55,68.7600
56,66.4000
57,63.3600
58,61.2400
59,59.1200
60,59.1200
61,58.2000
62,60.1200
63,60.5600
64,59.9600
65,58.6400
66,57.3600
67,57.5600
68,56.9200
69,56.4800
70,56.0800
71,57.0800
72,59.3600
73,60.0400
74,60.2000
75,59.6800
76,59.9600
77,59.5200
78,58.1600
79,55.8800
80,55.2000
81,55.5600
82,55.9600
83,53.4000
84,53.6400
85,50.8400
86,47.2000
87,52.2800
88,56.5600
89,58.1600
90,63.0000
91,62.2400
92,60.7200
93,61.1600
94,61.2400
95,55.4400
96,49.2400
97,44.2400
98,42.2400
99,41.7600
100,46.5200
101,49.6800
102,53.1600
103,58.0800
104,59.6400
105,59.4400
106,60.3600
107,59.7200
108,58.7600
109,60.2800
110,59.3200
111,55.8800
112,54.9600
113,51.6400
114,47.2800
115,43.1200
116,42.5200
117,42.9600
118,48.7600
119,51.1600
120,54.0400
121,58.5200
122,58.7200
123,57.0800
124,54.0800
125,53.7200
126,53.8800
127,54.6800
128,55.2400
129,55.7600
130,55.1200
131,56.4000
132,59.4400
133,59.2800
134,61.0800
135,61.5200
136,61.8400
137,61.5600
138,59.1200
139,55.9200
140,52.1600
141,49.6400
142,49.3600
143,49.2400
144,47.2400
145,51.4800
146,55.8400
147,57.2400
148,57.8400
149,58.5200
150,59.2800
151,59.0000
152,59.4000
153,57.3200
154,57.1200
155,57.6400
156,60.8800
157,61.0400
158,61.6800
159,61.5600
160,61.2400
161,59.1200
162,58.6400
163,56.4800
164,53.2400
165,50.6400
166,46.7600
167,45.7200
168,48.8000
169,50.7200
170,53.6400
171,59.7200
172,61.0000
173,65.1200
174,64.3200
175,63.8000
176,64.4800
177,62.8800
178,61.8800
179,58.3600
180,54.6800
181,51.6400
182,47.9600
183,48.3200
184,49.0800
185,55.8000
186,58.1600
187,59.8000
188,65.2000
189,68.3200
190,68.1600
191,68.2800
192,67.5200
193,65.8000
194,63.5600
195,60.4400
196,58.0400
197,55.4000
198,53.3600
199,56.4000
200,59.9600
201,62.7200
202,65.2000
203,71.9200
204,76.4400
205,79.2400
206,78.9200
207,78.4000
208,76.8400
209,76.3200
210,76.6800
211,76.8000
212,77.4400
213,76.0000
214,75.4800
215,76.4800
216,76.8000
217,75.3200
218,75.3600
219,77.0800
220,79.4800
221,81.1600
222,81.9200
223,83.1200
224,84.8800
225,84.9200
226,85.6400
227,86.4800
228,86.9200
229,86.4800
230,86.0400
231,85.8000
232,87.2000
233,86.8000
234,86.0400
235,87.0000
236,87.5600
237,87.5200
238,87.2400
239,87.6000
240,87.8400
241,88.2800
242,88.0800
243,87.6000
244,88.1200
245,88.4000
246,87.6000
247,87.3200
248,87.5200
249,88.0000
250,88.2800
251,88.7200
252,89.3200
253,88.9200
