Iteration,GA,PSO,ECPPSO,PSO_GA,ECPPSO_GA,ECPPSO_SE_GA,ECPPSO_NEP_GA
1,85.0400,84.6800,84.6800,84.6800,84.6800,84.6800,84.6800
2,85.0400,84.6800,84.5600,84.6800,84.4400,84.6800,84.6800
3,86.1200,84.6800,82.4400,84.6800,83.8800,84.6800,85.0000
4,86.1200,84.6800,75.0800,84.6800,84.7200,84.6800,85.1200
5,86.1200,84.6800,69.1600,84.6800,84.6800,84.6800,85.3600
6,86.1200,84.6800,58.1600,84.6800,84.5200,85.2400,85.0800
7,86.1200,84.6800,51.4800,84.6800,84.4000,85.2400,84.8800
8,86.1200,84.6800,50.0400,84.6800,84.9600,85.2400,85.5600
9,86.1200,85.1200,50.4000,85.1200,84.2000,85.2400,86.3200
10,86.1200,84.3200,50.5600,86.3200,83.8400,85.2400,86.4400
11,86.1600,84.7200,58.9200,86.2800,83.6000,85.2400,86.5600
12,87.2800,85.0400,65.1200,86.6000,85.0400,85.2400,86.4800
13,88.6800,85.3200,69.1200,87.1200,84.2400,85.2400,86.7600
14,88.6800,85.0800,72.1600,86.8000,84.4800,85.2400,86.6000
15,89.1600,85.1600,74.8400,87.4400,86.0400,85.2400,87.4000
16,89.1600,85.2000,77.1200,87.7200,86.0400,85.2400,87.9200
17,89.8400,85.2000,71.4000,87.8800,86.2800,86.9600,89.9200
18,90.2000,85.4800,69.8800,87.9200,86.3200,86.9600,89.9200
19,90.7200,85.8800,67.0000,88.0000,87.7200,86.9600,89.9200
20,90.8400,86.9200,59.6400,88.1200,87.8800,86.9600,90.5200
21,92.2400,86.4800,56.9600,88.0400,87.9200,86.9600,91.4800
22,92.2400,86.8000,61.2800,88.2400,89.2800,86.9600,90.9600
23,92.2400,86.8000,68.7200,88.0400,90.4400,86.9600,91.4800
24,92.4400,87.1200,72.4400,88.0000,90.2800,86.9600,91.5600
25,92.7600,87.4800,77.1200,88.1200,90.4400,86.9600,91.9600
26,93.2400,87.4000,80.4000,88.2000,90.2800,86.9600,92.2000
27,93.4800,87.5200,81.3200,88.1600,90.6800,87.1200,92.5200
28,93.7200,87.5600,81.8800,88.2800,91.0000,87.1200,92.5200
29,93.9200,87.6400,81.4400,88.2800,91.3200,87.1200,92.6800
30,94.0400,87.6000,80.6000,88.2400,91.4000,87.3200,92.8400
31,94.1600,87.6400,79.4800,88.2800,91.9600,87.3200,92.9200
32,94.4000,87.6800,79.0800,88.2800,92.3200,88.4000,93.2800
33,94.4000,87.6800,80.1200,88.2800,92.2000,88.4000,93.6400
