Iteration,ECPPSO,ECPPSO_GA,ECPPSO_SE_GA,ECPPSO_NEP_GA
1,84.6800,84.8800,84.6800,84.6800
2,84.6800,84.8800,84.6800,84.6800
3,84.6800,84.8800,84.6800,84.6800
4,84.6800,84.8800,86.5600,84.6800
5,84.6800,85.8000,86.5600,85.1200
6,84.6800,85.8000,86.5600,86.3600
7,84.6800,85.8000,86.5600,86.4000
8,84.6800,87.4000,86.5600,89.5200
9,84.6800,88.0800,86.5600,89.5200
10,84.6800,88.0800,86.5600,89.8400
11,84.6800,88.0800,86.5600,89.8400
12,84.6800,88.0800,86.5600,90.7600
13,84.6800,88.8400,87.0000,91.0800
14,84.6800,88.9600,87.0000,91.4800
15,84.6800,89.2800,87.0800,92.0400
16,84.6800,89.3200,87.1200,92.0400
17,84.6800,89.8400,87.1200,92.2800
18,84.6800,89.9200,87.2400,93.0800
19,84.6800,89.9200,87.2400,93.4400
20,84.6800,90.3200,87.4800,94.0800
21,84.6800,90.4400,87.8000,94.2400
22,84.6800,90.4400,87.8000,94.2400
23,84.6800,90.4400,87.8800,94.2400
24,84.6800,90.4400,87.8800,94.4000
25,84.6800,90.6400,88.1200,94.6800
26,84.6800,90.6800,88.1200,94.8800
27,84.6800,90.6800,88.4000,95.0800
28,84.6800,90.7600,88.5200,95.2800
29,84.6800,90.8400,88.6000,95.4000
30,84.6800,90.8800,88.6000,95.4400
31,84.6800,90.8800,88.6000,95.5600
32,84.6800,91.0000,89.0000,95.6400
33,84.6800,91.0000,89.0000,95.6400
34,84.6800,91.1200,89.3600,95.8000
35,84.6800,91.1200,89.3600,95.8000
36,84.6800,91.4400,89.4000,95.9200
37,84.6800,91.4400,89.4000,95.9600
38,84.6800,91.5600,89.5200,96.0000
39,84.6800,91.6000,90.4400,96.4000
40,84.6800,91.6000,90.4400,96.5200
41,84.6800,91.6000,90.4400,96.7600
42,84.6800,91.7600,90.4400,96.8400
43,84.6800,91.8800,90.4400,97.0400
44,84.6800,91.9600,90.4400,97.1600
45,84.6800,92.0400,90.4400,97.3200
46,84.6800,92.2000,90.4400,97.2800
47,84.6800,92.2400,90.8000,97.4400
48,84.6800,92.5200,90.8000,97.6400
49,84.6800,92.5200,90.8400,97.8400
50,84.6800,92.6800,91.0000,97.9200
51,84.6800,92.7200,91.0000,97.9200
52,84.6800,92.9600,91.0800,98.0000
53,84.6800,92.9600,91.0800,97.9200
54,84.6800,93.0400,91.0800,98.0800
55,84.6800,93.0800,91.1600,98.0800
56,84.6800,93.2400,91.1600,98.0800
57,84.6800,93.2400,91.1600,98.2000
