Iteration,GA,PSO,ECPPSO,PSO_GA,ECPPSO_GA,ECPPSO_SE_GA,ECPPSO_NEP_GA
1,,893.3759,61.0237,,55.4123,,
2,,34.1516,51.6243,,62.9730,,
3,,23.1338,48.0232,,50.9644,,
4,,22.9926,47.7829,,50.2472,,
5,,22.5697,47.2031,,50.5066,,
6,,22.5225,46.3181,,51.7960,,
7,,23.9325,47.1573,,50.3769,,
8,,24.8976,46.9284,,47.8363,,
9,,25.1579,54.0886,,47.7753,,
10,,25.7998,89.5271,,47.8516,,
11,,25.7196,46.6042,,56.5109,,
12,,24.5342,46.7644,,81.8787,,
13,,24.9548,47.9126,,55.0766,,
14,,25.6352,47.0085,,46.7224,,
15,,26.5341,47.0429,,46.9513,,
16,,25.1894,48.0270,,45.9595,,
17,,25.1617,49.2897,,45.6696,,
18,,25.3286,50.0679,,44.4336,,
19,,25.7082,48.5382,,44.7006,,
20,,25.4555,47.7715,,44.4489,,
21,,25.8288,47.4930,,45.7230,,
22,,26.3720,48.4276,,47.8592,,
23,,26.2170,58.6853,,46.0053,,
24,,26.4502,91.4803,,45.3415,,
25,,25.0940,49.2020,,44.5252,,
26,,24.7445,48.9044,,45.6009,,
27,,25.1527,45.6810,,47.7829,,
28,,23.8729,53.2494,,45.4712,,
29,,24.7102,87.4023,,46.3409,,
30,,23.4175,50.4112,,52.4979,,
31,,22.7227,47.4434,,68.9697,,
32,,22.1286,42.6445,,48.6221,,
33,,21.4992,43.8576,,53.1693,,
34,,22.1324,43.6440,,51.1322,,
35,,22.1510,44.6396,,48.8358,,
36,,19.8321,40.9737,,47.0429,,
37,,19.5255,43.8881,,45.2423,,
38,,18.8751,44.0712,,46.8140,,
39,,19.3887,41.8129,,45.2271,,
40,,18.9438,44.3230,,44.9143,,
41,,19.1512,43.4189,,45.6619,,
42,,19.5866,42.1715,,46.9208,,
43,,19.2914,43.1175,,43.7317,,
44,,19.5108,44.6205,,46.1426,,
45,,19.4926,48.7633,,42.8467,,
46,,20.0949,45.4750,,46.2570,,
47,,19.0435,42.3279,,47.5540,,
48,,20.6890,51.7693,,45.2423,,
49,,19.0153,61.1687,,51.9333,,
50,,19.1302,42.6865,,67.2836,,
51,,21.1048,41.0996,,43.5715,,
52,,28.4014,43.2243,,41.9846,,
53,,25.5389,44.2314,,45.7382,,
54,,25.4164,42.1524,,47.6837,,
55,,24.6525,44.4412,,47.2336,,
56,,24.9400,44.5442,,41.5802,,
57,,25.3434,41.9312,,40.4892,,
58,,25.7144,40.1001,,39.4821,,
59,,25.7878,42.5415,,39.5050,,
60,,25.6105,40.7639,,41.1758,,
61,,26.6209,42.7628,,42.3279,,
62,,26.6376,44.1093,,43.8004,,
63,,26.6581,42.6025,,47.1802,,
64,,26.6218,43.6287,,46.0892,,
65,,27.5574,44.3535,,41.0996,,
66,,27.2617,42.8314,,41.5649,,
67,,26.5918,53.5011,,40.7028,,
68,,25.4102,70.3087,,48.0576,,
69,,24.8079,43.4647,,61.1420,,
70,,24.4484,43.7546,,40.2451,,
71,,23.9883,42.5186,,44.3039,,
72,,24.4036,42.5034,,41.5878,,
73,,24.9109,44.0826,,41.6260,,
74,,25.0449,41.7786,,40.5045,,
75,,25.7320,42.7780,,40.4434,,
76,,24.2610,42.5682,,44.0826,,
77,,25.7325,43.4799,,50.1862,,
78,,24.3287,42.7094,,50.2930,,
79,,24.2395,42.3546,,44.1742,,
80,,24.5066,40.5083,,41.0767,,
81,,26.4220,42.4576,,39.6957,,
82,,26.3319,40.7333,,39.8178,,
83,,25.6615,40.7753,,41.5344,,
84,,26.0582,40.4854,,39.8636,,
85,,26.1111,42.6788,,42.2211,,
86,,26.0925,41.2369,,42.8391,,
87,,26.1650,52.7840,,50.7584,,
88,,25.5289,66.5817,,63.3469,,
89,,25.7068,48.6488,,40.8402,,
90,,25.2190,46.6232,,42.9382,,
91,,25.4974,44.1475,,41.7328,,
92,,24.9300,41.8778,,40.0848,,
93,,25.9552,41.8243,,43.1824,,
94,,26.5098,43.1099,,46.5775,,
95,,25.9361,42.1867,,42.0685,,
96,,25.9485,44.0979,,43.0450,,
97,,26.2103,41.5497,,42.8848,,
98,,25.8122,43.2015,,42.3966,,
99,,26.5784,41.6794,,43.8690,,
100,,26.6461,42.4461,,51.1704,,
101,,27.2207,43.1480,,42.8696,,
102,,26.6833,42.0113,,40.9851,,
103,,25.5480,41.0767,,42.2592,,
104,,24.8232,40.5502,,40.2527,,
105,,25.5952,39.9857,,39.5508,,
106,,27.2641,47.7295,,47.0886,,
107,,26.9055,65.0024,,62.4542,,
108,,25.5733,40.7600,,39.2380,,
109,,26.3786,41.2979,,48.1033,,
110,,26.0320,42.0609,,50.6821,,
111,,24.6577,45.0707,,50.1862,,
112,,25.1465,47.2679,,48.4543,,
113,,26.2632,44.6854,,48.4390,,
114,,24.8861,43.6630,,48.4085,,
115,,23.3250,41.0309,,51.2314,,
116,,22.7976,42.6102,,53.8864,,
117,,22.5315,43.6478,,48.3246,,
118,,22.0938,41.3971,,47.3938,,
119,,22.3694,43.0832,,46.9437,,
120,,22.8109,43.0183,,49.9268,,
121,,22.7318,41.7175,,49.7894,,
122,,22.7976,42.2440,,45.3262,,
123,,22.0337,42.2058,,41.0919,,
124,,21.4291,41.3666,,39.5889,,
125,,22.5925,48.3551,,46.7148,,
126,,21.5902,62.4352,,60.6461,,
127,,23.2229,44.0254,,40.5045,,
128,,24.5562,43.2167,,40.9927,,
129,,23.8142,40.8936,,41.4505,,
130,,22.8014,41.0042,,40.0696,,
131,,22.3503,40.7295,,42.0075,,
132,,22.6631,41.6603,,44.1055,,
133,,21.7524,43.8271,,43.1595,,
134,,20.9770,44.2925,,40.8707,,
135,,21.3490,47.1153,,38.3301,,
136,,21.5864,42.3775,,39.1464,,
137,,22.1891,43.2358,,38.9481,,
138,,23.4699,44.6472,,38.6658,,
139,,24.6573,41.1682,,41.8396,,
140,,25.6529,40.8783,,40.6418,,
141,,26.5636,41.3322,,40.8249,,
142,,23.5024,40.4968,,41.4810,,
143,,22.8043,41.7137,,47.2412,,
144,,22.5678,49.5758,,54.5731,,
145,,22.1605,63.8046,,63.4003,,
146,,21.9593,42.8848,,41.0080,,
147,,22.0528,41.7748,,41.3208,,
148,,21.9631,41.4772,,41.0156,,
149,,22.1310,41.4543,,42.4881,,
150,,22.1424,41.5611,,44.3955,,
151,,22.2092,39.9933,,42.5873,,
152,,21.9107,40.4968,,41.1835,,
153,,22.5716,42.0990,,42.3508,,
154,,22.5000,40.9012,,42.1753,,
155,,22.2273,41.8930,,39.7720,,
156,,22.5172,43.1824,,41.4429,,
157,,22.4648,44.9295,,43.1366,,
158,,23.4699,47.9813,,43.2053,,
159,,22.1500,42.0914,,43.1137,,
160,,22.1939,40.9889,,40.3366,,
161,,21.8658,42.8963,,40.0314,,
162,,21.2984,41.4391,,41.5192,,
163,,21.5817,47.0619,,46.8521,,
164,,21.6942,64.5714,,59.0210,,
165,,21.5120,44.9448,,42.8925,,
166,,19.0697,43.3197,,50.2625,,
167,,18.8198,42.1639,,50.1938,,
168,,18.9333,42.2516,,42.4881,,
169,,19.5885,41.6908,,42.6407,,
170,,19.1050,41.7976,,38.4064,,
171,,19.2041,41.6946,,39.8865,,
172,,19.2776,41.3017,,39.5737,,
173,,20.3590,43.6707,,40.6418,,
174,,20.3505,40.7524,,41.6031,,
175,,19.0039,41.3094,,43.8538,,
176,,18.9352,45.3911,,43.5257,,
