Iteration,GA,PSO,ECPPSO,PSO_GA,ECPPSO_GA,ECPPSO_SE_GA,ECPPSO_NEP_GA
1,,689.2590,43.7012,,36.2549,,
2,,22.0237,43.6134,,40.9088,,
3,,17.3678,32.8007,,39.1388,,
4,,18.5890,34.5440,,33.5846,,
5,,19.1875,39.7301,,39.8560,,
6,,25.0421,33.0620,,36.6516,,
7,,27.7948,32.1102,,34.0424,,
8,,25.0850,39.3086,,37.9028,,
9,,18.8689,33.5560,,35.7056,,
10,,19.6061,35.0952,,33.9966,,
11,,19.2332,36.6154,,38.7573,,
12,,19.7525,41.6813,,35.3394,,
13,,23.9053,71.7487,,36.3007,,
14,,19.5932,35.8181,,38.9404,,
15,,19.3887,33.4835,,37.4146,,
16,,19.8603,39.6195,,35.1715,,
17,,24.3259,34.3018,,40.8783,,
18,,19.0225,34.2884,,34.9731,,
19,,21.0323,38.5094,,44.1895,,
20,,18.7721,32.4879,,50.8118,,
21,,24.3564,35.8086,,35.3851,,
22,,19.4812,38.3606,,35.0494,,
23,,20.0977,32.3238,,39.0015,,
24,,18.2223,32.9990,,34.4086,,
25,,17.9486,36.5009,,36.2244,,
26,,26.0539,33.1287,,40.4053,,
27,,17.9949,32.2952,,36.4838,,
28,,17.4904,35.4290,,38.4369,,
29,,18.7907,32.3696,,40.1764,,
30,,17.5042,32.7549,,37.2620,,
31,,21.3232,40.2622,,36.4227,,
32,,19.2461,35.6522,,40.0391,,
33,,19.0206,33.7391,,35.4767,,
34,,19.3582,40.9870,,36.7127,,
35,,23.5953,35.4652,,34.8358,,
36,,19.2995,40.3996,,35.8429,,
37,,19.3405,55.2712,,34.6985,,
38,,19.8512,33.2623,,37.6740,,
39,,24.4851,35.1391,,35.7513,,
40,,19.3987,40.0715,,36.6058,,
41,,19.2347,33.5960,,34.8816,,
42,,19.0091,33.2451,,42.0075,,
43,,19.0873,38.5094,,50.9796,,
44,,23.8876,32.5909,,36.7432,,
45,,20.0691,33.2966,,36.3770,,
46,,19.5861,37.3955,,36.2549,,
47,,19.1140,32.7072,,35.6445,,
48,,23.2635,34.4582,,38.4522,,
49,,21.5778,38.5933,,36.1939,,
50,,19.7368,33.0200,,35.2936,,
51,,19.2156,34.4925,,37.7350,,
52,,23.6058,36.3865,,34.8358,,
53,,19.4483,33.5999,,32.8674,,
54,,18.2233,32.8388,,37.9334,,
55,,19.8035,37.9963,,39.2609,,
56,,19.0468,33.8249,,38.5895,,
57,,27.0696,33.8726,,38.0402,,
58,,18.0883,37.7026,,40.8936,,
59,,21.1110,33.2470,,44.7540,,
60,,18.7554,39.0282,,41.2903,,
61,,22.8643,51.9123,,38.7268,,
62,,17.9176,32.3982,,39.0930,,
63,,22.2573,33.3405,,36.3312,,
64,,18.9853,36.6898,,37.0026,,
65,,20.2723,32.9666,,42.7246,,
66,,24.7145,33.1173,,51.4984,,
67,,20.4978,37.6091,,36.7432,,
68,,19.1894,33.3977,,38.7878,,
69,,23.6735,33.1898,,36.5295,,
70,,24.0893,37.1456,,41.0614,,
71,,17.5409,33.5331,,42.1295,,
72,,17.7894,32.5012,,40.7105,,
73,,19.1336,37.6148,,42.9382,,
74,,18.7235,32.9666,,39.9323,,
75,,23.0255,32.5165,,36.4380,,
76,,18.8155,37.1437,,33.4930,,
77,,17.7622,32.2914,,35.7666,,
78,,17.6745,32.9971,,37.0026,,
79,,17.2801,36.6802,,36.6974,,
80,,21.0314,33.9756,,33.8745,,
81,,17.6420,33.3347,,38.0554,,
82,,18.0898,36.8824,,36.4533,,
83,,17.8571,32.6309,,36.2701,,
84,,17.3402,38.6696,,35.5225,,
85,,21.2035,50.7736,,37.3688,,
86,,17.5562,32.4154,,36.4380,,
87,,18.6524,33.2947,,36.4380,,
88,,18.5480,37.1704,,41.1530,,
89,,17.8590,33.5484,,51.2390,,
90,,22.4996,32.0988,,36.5143,,
91,,17.5915,37.6701,,36.7584,,
92,,17.8762,32.5451,,37.2620,,
93,,17.8256,32.6958,,34.4391,,
94,,17.9739,36.5906,,34.3475,,
95,,22.2740,32.1560,,37.7045,,
96,,21.6761,33.2851,,34.2712,,
97,,17.5743,37.8780,,34.3323,,
98,,18.2619,31.7555,,35.2478,,
99,,18.3182,32.7358,,35.3851,,
100,,23.2678,36.0489,,35.9650,,
101,,17.6239,33.2279,,36.9721,,
102,,18.1856,32.9247,,34.2560,,
103,,18.1837,38.3835,,34.7138,,
104,,18.5728,33.9069,,34.6222,,
105,,22.5201,33.1955,,35.2936,,
106,,18.0998,37.3344,,35.0189,,
107,,19.9232,32.1999,,35.2936,,
108,,17.4494,39.6042,,35.9802,,
109,,18.1942,50.1747,,34.8969,,
110,,22.2035,32.9742,,34.5764,,
111,,18.5204,32.3563,,40.9851,,
112,,19.0516,36.9072,,46.6614,,
113,,21.1763,33.4473,,36.3312,,
114,,19.3100,32.2304,,35.9039,,
115,,21.6532,37.3230,,35.6598,,
116,,20.1836,33.0353,,34.3170,,
117,,19.1908,33.2604,,34.2560,,
118,,17.8289,36.9988,,34.2407,,
119,,17.3359,34.1034,,34.1339,,
120,,21.7733,33.3252,,37.4146,,
121,,18.1189,37.4107,,35.4919,,
122,,17.5972,32.4440,,35.8887,,
123,,18.5432,32.6271,,35.9497,,
124,,17.7183,38.2385,,35.7513,,
125,,22.0194,32.7683,,35.9345,,
126,,17.2520,33.1764,,34.8053,,
127,,17.4704,39.1312,,35.8734,,
128,,17.6773,35.4729,,37.5824,,
129,,19.5084,37.0827,,36.1786,,
130,,22.7337,41.6451,,35.3394,,
131,,17.7450,35.6560,,36.2091,,
132,,19.7849,40.4129,,38.5437,,
133,,19.2862,49.1486,,36.6364,,
134,,20.4172,33.3138,,42.2974,,
135,,22.3560,33.1535,,49.5300,,
136,,22.0680,37.0445,,36.3464,,
137,,19.6791,33.5045,,36.2396,,
138,,17.6849,33.7486,,34.4086,,
139,,17.8480,36.7394,,33.8898,,
140,,23.8838,33.9470,,37.3993,,
141,,17.8127,33.4358,,37.2467,,
142,,18.8265,38.6047,,34.0118,,
143,,17.3788,33.2985,,34.8511,,
144,,17.8595,33.0315,,34.3933,,
145,,22.1996,36.3579,,34.4696,,
146,,17.7889,33.2985,,33.6151,,
147,,17.7002,32.9399,,36.2854,,
148,,18.5881,38.0020,,37.7350,,
149,,18.5623,33.5083,,34.3628,,
150,,21.8964,33.7448,,35.3699,,
151,,17.5867,36.1481,,34.6680,,
152,,17.5381,32.3181,,33.9661,,
153,,17.2977,34.2789,,37.6129,,
154,,17.4580,37.0522,,38.1012,,
155,,21.3881,34.5230,,36.4990,,
156,,19.4607,41.3551,,37.6434,,
157,,19.4826,50.0298,,42.6636,,
158,,19.3472,33.1001,,50.3235,,
159,,26.2117,33.4625,,35.8429,,
160,,18.8904,36.9301,,36.1023,,
161,,18.7006,33.2832,,36.3464,,
162,,17.5753,33.2985,,35.9192,,
163,,17.3588,37.8952,,37.3688,,
164,,22.7518,33.7677,,35.3851,,
165,,20.0415,33.3672,,37.4603,,
166,,21.1153,38.1241,,36.6516,,
167,,18.1084,33.5922,,37.3840,,
168,,17.4027,32.8102,,34.4391,,
